37.333202, -121.911615
37.333229, -121.911722
37.333059, -121.911541
37.333113, -121.911565
37.333145, -121.911619
37.333163, -121.911680
37.333171, -121.911742
37.333038, -121.911626
37.333099, -121.911680
37.333095, -121.911784
37.332995, -121.911709
37.333094, -121.911755
37.332934, -121.911701
37.333024, -121.911768
37.332938, -121.911791
37.332972, -121.911861
37.333044, -121.911880
37.332870, -121.911849
37.332928, -121.911937
37.332993, -121.911995
37.332794, -121.911952
37.332868, -121.912014
37.332929, -121.912085
37.332722, -121.912060
37.332805, -121.912103
37.332850, -121.912200
